Tweet ID,Username,Content,Created At,User Location,Filtered Location
1222224929770393601,Niall_Sargent,"Dished out a good old rant to my poor colleagues this afternoon about RTE's #GE2020 debate last night &amp; the overall media framing of #ClimateBreakdown as a standalone issue

I wrote it all down so now it is officially an ""informed"" opinion piece :-)

https://t.co/Z3H7lQ88jp",2020-01-28 18:28:25+00:00,Dublin,Ireland
1222287230628057094,PeteGDunne,Climate Change with Scott Amyx: Interview with James Howard Kunstler https://t.co/T1bSHrHR7T via @YouTube,2020-01-28 22:35:59+00:00,"Clogherhead, Louth, Ireland",Ireland
1220133926334877699,GweebarraG,"@rte
The politicians are pushing wind turbines as a solution to climate change. We need to preserve our wild places, our hills, bogs and oceans for the valuable Habitats and carbon sink they are. No-one would dig up the Amazon to plant industrial wind turbines. Doh!",2020-01-22 23:59:31+00:00,"Donegal, Ireland",Ireland
1220133703684280325,PeterSurda,"@PeterMcCormack You don't need to reject climate change to conclude that the ""solutions"" being pushed make no economic sense, but the do make political sense (more totalitarian society). I personally have no opinion on climate science as that is not my area of expertise.",2020-01-22 23:58:38+00:00,"Vienna, Austria",Austria
1220133243439198210,preca72,"Amanece en el cabo de las huertas

#alicante #CostaBlanca  #amanecer #sunrise #sunset #sealovers #sunsetbeach #enamoradosdealicante #alicantefirst #climatesummit #climatechange #photopills #lucroit #spain #zen #meditation #yogainspiration  #inspiracion #sol #yoga https://t.co/j6cM1m7MiL",2020-01-22 23:56:48+00:00,Alicante - Spain,Spain
1220132230812577792,TakeoffJe,"@c_lindner „könnten“ natürlich, wollte höflich bleiben und nicht ins unangemessene Du verfallen🤔 #climatechange #Davos",2020-01-22 23:52:47+00:00,"Baden-Württemberg, Germany",Germany
1220129492762537984,BlinkSoneOrbit,"We have a chance of having the first female Taoiseach as well as getting the capitalist money loving men out of power, ending our housing and homeless crisis, seeing real change in tackling climate change, ending direct provision, having enough hospital beds and-",2020-01-22 23:41:54+00:00,Ireland,Ireland
1220129073315426305,cortlandj,"Paris is becoming a bike-friendly city, and Mayor Hidalgo is showing you can make sizable change by not being afraid to talk about climate change and transportation for the future of the city.
#paris #bikes #cities #urban #mobility #climatechange 
https://t.co/xf4QKV6Gsl",2020-01-22 23:40:14+00:00,"Berlin, Germany",Germany
1220128248606220288,mire_daly,"@VillageMagIRE Not a peep on data centers &amp; climate change...
https://t.co/JVyWPiZfaH",2020-01-22 23:36:58+00:00,Galway Ireland,Ireland
1220127457174487040,CassiusYoutube,"Micheal Martin opening statement

-hospital waiting lists
-housing crisis (high price of housing)
-rising cost of living
-education
-crime
-climate change

""I want to build an ireland that works for all its people""",2020-01-22 23:33:49+00:00,"Dublin, Ireland",Ireland
